Accepted Symbol,Synonym Symbol,Scientific Name,Common Name,Growth Habit
AGLA,,Agrostis lacuna-vernalis P.M. Peterson & R. J. Soreng,vernal pool bentgrass,Graminoid
AGME3,AGBO2,Agrostis borealis Hartm.,,Graminoid
AGME3,,Agrostis mertensii Trin.,northern bentgrass,Graminoid
AGME3,AGBOP,Agrostis borealis Hartm. var. paludosa (Scribn.) Fernald,,Graminoid
AGME3,AGBA5,Agrostis bakeri Rydb.,,Graminoid
AGME3,AGBOA3,Agrostis borealis Hartm. var. americana (Scribn.) Fernald,,Graminoid
AGME3,AGIDB,Agrostis idahoensis Nash var. bakeri (Rydb.) W.A. Weber,,Graminoid
AGME3,AGRU2,Agrostis rupestris auct. non All.,,Graminoid
AGME3,AGMEB,Agrostis mertensii Trin. ssp. borealis (Hartm.) Tzvelev,,Graminoid
AGMI3,,Agrostis microphylla Steud.,small-leaf bentgrass,Graminoid
AGMI3,AGMII,Agrostis microphylla Steud. var. intermedia Beetle,,Graminoid
AGMI3,AGIN7,Agrostis inflata Scribn.,,Graminoid
AGNE9,NENE5,Neoschischkinia nebulosa (Boiss. & Reut.) Tzvelev,,Graminoid
AGNE9,,Agrostis nebulosa Boiss. & Reut. [excluded],,Graminoid
AGOR,,Agrostis oregonensis Vasey,Oregon bentgrass,Graminoid
AGPA8,AGLE2,Agrostis lepida Hitchc.,,Graminoid
AGPA8,,Agrostis pallens Trin.,seashore bentgrass,Graminoid
AGPA8,AGDI,Agrostis diegoensis Vasey,,Graminoid
AGPA8,AGPAV,Agrostis pallens Trin. var. vaseyi H. St. John,,Graminoid
AGPA9,,Agrostis pauzhetica Prob.,Thermal Bent,Graminoid
AGPE,,Agrostis perennans (Walter) Tuck.,upland bentgrass,Graminoid
AGPE,AGAL8,Agrostis altissima (Walter) Tuck.,,Graminoid
AGPE,AGOR3,Agrostis oreophila Trin.,,Graminoid
AGPE,AGEL5,Agrostis elata (Pursh) Trin.,,Graminoid
AGPE,AGPEE,Agrostis perennans (Walter) Tuck. var. elata (Pursh) Hitchc.,,Graminoid
AGPE,AGPEA,Agrostis perennans (Walter) Tuck. var. aestivalis Vasey,,Graminoid
AGPE,AGSC6,Agrostis schweinitzii Trin.,,Graminoid
AGPE,COPE7,Cornucopiae perennans Walter,,Graminoid
AGRO4,AGVA4,Agrostis variabilis auct. non Rydb.,,Graminoid
AGRO4,,Agrostis rossiae Vasey,Ross' bentgrass,Graminoid
AGSA3,,Agrostis sandwicensis Hillebr.,Hawai'i bentgrass,Graminoid
AGSA3,AGFA,Agrostis fallax Hillebr.,,Graminoid
AGSC5,AGSCS4,Agrostis scabra Willd. ssp. septentrionalis (Fernald) Á. Löve & D. Löve,,Graminoid
AGSC5,,Agrostis scabra Willd.,rough bentgrass,Graminoid
AGSC5,AGHYG,"Agrostis hyemalis (Walter) Britton, Sterns & Poggenb. var. geminata (Trin.) Hitchc.",,Graminoid
AGSC5,AGGE2,Agrostis geminata Trin.,,Graminoid
AGSC5,AGHYS,"Agrostis hyemalis (Walter) Britton, Sterns & Poggenb. var. scabra (Willd.) Blomquist",,Graminoid
AGSC5,AGHYT,"Agrostis hyemalis (Walter) Britton, Sterns & Poggenb. var. tenuis (Tuck.) Gleason",,Graminoid
AGSC5,AGSCG,Agrostis scabra Willd. var. geminata (Trin.) Swallen,,Graminoid
AGSC5,AGSCS,Agrostis scabra Willd. var. septentrionalis Fernald,,Graminoid
AGST2,AGALP,Agrostis alba L. var. palustris (Huds.) Pers.,,Graminoid
